key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
".  Arbuste, sorte de mimosa à fleurs odorantes",mufumgu,KM -> FR,M,,,,,,,,
.  badamier,mhanɗaya,KM -> FR,M,,,,,,,,
.  liane portant le furefure (une sorte de haricot géant),mfurefure,KM -> FR,M,,,,,,,,
2ème épouse (rivale),mshe-mnyao,KM -> FR,M,n. masc.,mshe-mnyao,,,,,,
a.  écaille; écorce,gamɓa,KM -> FR,G,,,,,,,,
abaissement,mshushio; mnyamiso,FR -> KM,A,n. masc.,mnyamiso,mshushio,,,,https://pixabay.com/get/g34a15dfe03113c7eb7c5d3bafd3e0a428013efce039343232e50178e9da601ec70dfc81f36e1fc54325ffccf6ce169a4d9ca04be54fa91084bfa79ea611ca50d_640.png,https://cdn.pixabay.com/photo/2020/05/19/06/33/monoline-art-5189465_150.png
abaisser,shusha (u-); ɗaridza (u-),FR -> KM,A,v.,ushusha,uɗaridza,,,,https://pixabay.com/get/g588fc06f10448004d3a3c6622ae2ff4e34a253cc6f99fd44497bf527c6b65b5940e9e0f2b69d84370637e7f79db43e1332278de600a921d22f0caa95b15d316c_640.jpg,https://cdn.pixabay.com/photo/2016/09/21/04/17/jeju-island-1684040_150.jpg
abaisser (s'-),nyama (u-),FR -> KM,A,v. tra.,unyama,unyama,unyama,unyama,1.0,https://pixabay.com/get/g9e8a53e038e917333975e0a7bc819ee5fbaa4f4c300bbd0e507932063fd3477d0cd0307a0900261d4862d4d130565ce43891171a871d49683fad61892041864a_640.jpg,https://cdn.pixabay.com/photo/2016/09/21/04/17/jeju-island-1684040_150.jpg
abandon,mlishio,FR -> KM,A,n. masc.,,mlishio,,,,https://pixabay.com/get/gc7b06d053ac4f048cbd7311f715d3177034a539ad86b5288e255de7fb127255cd521ca56bf3c0bda98d77cf5befb3fd6124e2b39f14bf756fd19d96382791030_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/19/19/railway-1555348_150.jpg
abandonner,rantsi (u-),FR -> KM,A,v.,urantsi,,,,,https://pixabay.com/get/g31f4df7f2afda6f66069b654790f66e4f6824d88fb06a848ef547afa18caa704693ad99c840819bd2f51e0e3a1666de817a55e5323eea987cd09a108e7bc2e85_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/19/19/railway-1555348_150.jpg
abandonné (être),hantsiwa (u-); lishiwa (u-),FR -> KM,A,loc. v.,uhantsiwa,,ulishiwa,,,https://pixabay.com/get/g61a54b214f24855c54ada50b3eeb4c5ff9057f1d9b6f2af12397f651fb660562ab6904966a6d95b73b50a25bde4397d444f684796d87906bb8276b130a3e057b_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/19/19/railway-1555348_150.jpg
abandonné (être); laissé (être),hantsiwa (u-),KM -> FR,H,loc. v.,uhantsiwa,,ulishiwa,,,https://pixabay.com/get/g5f0c20883bde73f7dbe3687afd17cba150f7e269db6b7ff9e99c7575fc2f3a23f1fe0db285b9b618099350610dfbf304ce60eda8d108c57bc5e01d8827a883d1_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/19/19/railway-1555348_150.jpg
abasourdir,fusa makio (u-),FR -> KM,A,v.,,makio,,,,https://pixabay.com/get/gadc80c338c0ff84109170166e793903102bad24606effdd4163a9f33b4f773cc87d2343d68916e7091689430ef19537b_640.jpg,https://cdn.pixabay.com/photo/2012/10/21/07/56/universe-62282_150.jpg
abattoir,ɓanga,FR -> KM,A,n. masc.,ɓanga,ɓanga,ɓanga,ɓanga,1.0,https://pixabay.com/get/gc73b645fdc6c404600aa39a7de82a65134b4c95c8a729414361b741fd5f4fc62dbeb3e7e2fa5ca8b1872d0b023c0207b2e5580347935743ae12ccc0d1e396943_640.jpg,https://cdn.pixabay.com/photo/2018/03/03/10/10/meat-3195334_150.jpg
abattre,uwa (u-),FR -> KM,A,v.,uuwa,,,uuwa,,https://pixabay.com/get/gcc7924574b3311bfd5e27e52a8ce500e0b3f9351c7528429b68575602d781deee6a4fac4b4bd8b21f247ded9d6c4f1e8_640.jpg,https://cdn.pixabay.com/photo/2012/10/25/23/57/soldier-62902_150.jpg
abcès,pumɓa; mazimɓa,FR -> KM,A,n. masc.,pumɓa,,pumɓa,,,,
abcès; amas,pumɓa,KM -> FR,P,n. masc.,pumɓa,,pumɓa,,,,
