key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
".  Arbuste, sorte de mimosa à fleurs odorantes",mufumgu,KM -> FR,M,,,,,,
.  badamier,mhanɗaya,KM -> FR,M,,,,,,
.  liane portant le furefure (une sorte de haricot géant),mfurefure,KM -> FR,M,,,,,,
2ème épouse (rivale),mshe-mnyao,KM -> FR,M,n. masc.,mshe-mnyao,,,,
a.  écaille; écorce,gamɓa,KM -> FR,G,,,,,,
abaissement,mshushio; mnyamiso,FR -> KM,A,n. masc.,mnyamiso,mshushio,,,
abaisser,shusha (u-); ɗaridza (u-),FR -> KM,A,v.,ushusha,uɗaridza,,,
abaisser (s'-),nyama (u-),FR -> KM,A,v. tra.,unyama,unyama,unyama,unyama,1.0
abandon,mlishio,FR -> KM,A,n. masc.,,mlishio,,,
abandonner,rantsi (u-),FR -> KM,A,v.,urantsi,,,,
abandonné (être),hantsiwa (u-); lishiwa (u-),FR -> KM,A,loc. v.,uhantsiwa,,ulishiwa,,
abandonné (être); laissé (être),hantsiwa (u-),KM -> FR,H,loc. v.,uhantsiwa,,ulishiwa,,
abasourdir,fusa makio (u-),FR -> KM,A,v.,,makio,,,
abattoir,ɓanga,FR -> KM,A,n. masc.,ɓanga,ɓanga,ɓanga,ɓanga,1.0
abattre,uwa (u-),FR -> KM,A,v.,uuwa,,,uuwa,
abcès,pumɓa; mazimɓa,FR -> KM,A,n. masc.,pumɓa,,pumɓa,,
abcès; amas,pumɓa,KM -> FR,P,n. masc.,pumɓa,,pumɓa,,
abdomen,mimba,FR -> KM,A,n. masc.,,mimba,mimba,,
abdomen; ventre; grossesse,mimba,KM -> FR,M,n. masc.,,mimba,mimba,,
abeille,nyoshi,FR -> KM,A,n. fem.,nyoshi,nyoshi,nyoshi,nyoshi,1.0
abject,-risifu,FR -> KM,A,adj.,-risifu,-risifu,,,
abject; laid,-risifu,KM -> FR,R,adj.,-risifu,-risifu,,,
abjurer,rutaɗi (u-),FR -> KM,A,v. tra.,urutaɗi,,,,
abjurer (foi),kafiriha (u-),FR -> KM,A,v.,ukafiriha,,,,
ablation,mtsindzo,FR -> KM,A,n. fem.,mtsindzo,,,,
ablutions,udhu,FR -> KM,A,n. fem.,udhu,,udhu,,
ablutions (faire ses -),tawaza (u-),FR -> KM,A,v.,utawaza,utawaza,,,
aboiement,ndrasi,FR -> KM,A,n. masc.,ndrasi,,,,
aboli (être -),laluha (u-),FR -> KM,A,v.,ulaluha,,,,
abolir,lalua (u-),FR -> KM,A,v. tra.,ulalua,,,,
abolition,mlaluho,FR -> KM,A,n. fem.,mlaluho,mlaluho,mlaluho,mlaluho,1.0
abolition; dissolution,mlaluho,KM -> FR,M,n. fem.,mlaluho,mlaluho,mlaluho,mlaluho,1.0
abondance,utelele,FR -> KM,A,adj.,utelele,utelele,utelele,utelele,1.0
abondant,telele,FR -> KM,A,adj.,telele,telele,telele,telele,1.0
abonder,ɓwerere (u-),FR -> KM,A,v.,(u-),,,,
abonnement,mpvio; malagidzo,FR -> KM,A,n. masc.,mpvio,malagidzo,,,
abonner,lagidza (u-),FR -> KM,A,v. tra.,,ulagidza,ulagidza,,
"abonner; confier, envoyer un message, faire dire à",lagidza (u-),KM -> FR,L,v. tra.,,ulagidza,ulagidza,,
abonné,mlagidza,FR -> KM,A,n. masc.,,mlagidza,,,
aboyer,ra marasi (u-),FR -> KM,A,v. int.,marasi,,,,
abri,paya,FR -> KM,A,n. masc. n. masc.,paya,,,,
abri (du soleil ou de la pluie),mvuli,FR -> KM,A,n. fem.,mvuli,,,,
abscence,mpuzo,FR -> KM,A,n. fem.,mpuzo,,,,
absolument,tamam,FR -> KM,A,adv.,tamam,,,,
abécédaire (arabe),kurwasa,FR -> KM,A,n. masc.,kurwasa,,,,
abîmer,menya (u-),FR -> KM,A,v. tra.,umenya,umenya,umenya,,
abîmer (s'-),menyeha (u-),FR -> KM,A,v. tra.,umenyeha,,umenyeha,,
abîmer (s'-); tomber en panne,menyeha (u-),KM -> FR,M,v. tra.,umenyeha,,umenyeha,,
abîmer; détruire,menya (u-),KM -> FR,M,v. tra.,umenya,umenya,umenya,,
accabler de reproches,kinyushia (u-),FR -> KM,A,v. loc.,,,ukinyushia,,
accepter,kiri (u-); kuɓali (u-),FR -> KM,A,v. tra.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0
accepter en dépit de,turuku (u-),FR -> KM,A,v. tra.,uturuku,,uturuku,,
accepter en dépit de; renoncer,turuku (u-),KM -> FR,T,v. tra.,uturuku,,uturuku,,
