key_fr,key_km,scrap_mode,scrap_letter
".  Arbuste, sorte de mimosa à fleurs odorantes",mufumgu,KM -> FR,M
.  badamier,mhanɗaya,KM -> FR,M
.  liane portant le furefure (une sorte de haricot géant),mfurefure,KM -> FR,M
2ème épouse (rivale),mshe-mnyao,KM -> FR,M
a.  écaille; écorce,gamɓa,KM -> FR,G
abaissement,mshushio; mnyamiso,FR -> KM,A
abaisser,shusha (u-); ɗaridza (u-),FR -> KM,A
abaisser (s'-),nyama (u-),FR -> KM,A
abandon,mlishio,FR -> KM,A
abandonner,rantsi (u-),FR -> KM,A
abandonné (être),hantsiwa (u-); lishiwa (u-),FR -> KM,A
abandonné (être); laissé (être),hantsiwa (u-),KM -> FR,H
abasourdir,fusa makio (u-),FR -> KM,A
abattoir,ɓanga,FR -> KM,A
abattre,uwa (u-),FR -> KM,A
abcès,pumɓa; mazimɓa,FR -> KM,A
abcès; amas,pumɓa,KM -> FR,P
abdomen,mimba,FR -> KM,A
abdomen; ventre; grossesse,mimba,KM -> FR,M
abeille,nyoshi,FR -> KM,A
abject,-risifu,FR -> KM,A
abject; laid,-risifu,KM -> FR,R
abjurer,rutaɗi (u-),FR -> KM,A
abjurer (foi),kafiriha (u-),FR -> KM,A
ablation,mtsindzo,FR -> KM,A
ablutions,udhu,FR -> KM,A
ablutions (faire ses -),tawaza (u-),FR -> KM,A
aboiement,ndrasi,FR -> KM,A
aboli (être -),laluha (u-),FR -> KM,A
abolir,lalua (u-),FR -> KM,A
abolition,mlaluho,FR -> KM,A
abolition; dissolution,mlaluho,KM -> FR,M
abondance,utelele,FR -> KM,A
abondant,telele,FR -> KM,A
abonder,ɓwerere (u-),FR -> KM,A
abonnement,mpvio; malagidzo,FR -> KM,A
abonner,lagidza (u-),FR -> KM,A
"abonner; confier, envoyer un message, faire dire à",lagidza (u-),KM -> FR,L
abonné,mlagidza,FR -> KM,A
aboyer,ra marasi (u-),FR -> KM,A
abri,paya,FR -> KM,A
abri (du soleil ou de la pluie),mvuli,FR -> KM,A
abscence,mpuzo,FR -> KM,A
absolument,tamam,FR -> KM,A
abécédaire (arabe),kurwasa,FR -> KM,A
abîmer,menya (u-),FR -> KM,A
abîmer (s'-),menyeha (u-),FR -> KM,A
abîmer (s'-); tomber en panne,menyeha (u-),KM -> FR,M
abîmer; détruire,menya (u-),KM -> FR,M
accabler de reproches,kinyushia (u-),FR -> KM,A
accepter,kiri (u-); kuɓali (u-),FR -> KM,A
accepter en dépit de,turuku (u-),FR -> KM,A
accepter en dépit de; renoncer,turuku (u-),KM -> FR,T
accepter; être possible; fonctionner,kiri (u-),KM -> FR,K
accident,adjali,FR -> KM,A
acclimater,zweza (u-),FR -> KM,A
accompagnement,mɗungano,FR -> KM,A
accompagnement (protéiné d'un plat),ireo; shireo,FR -> KM,A
accompagner,ɗungamana (u-),FR -> KM,A
accomplir,renɗa (u-); rendra (u-),FR -> KM,A
accord,mwafaka,FR -> KM,A
accorder Sa clémence (Dieu),rehemu (u-),FR -> KM,A
accoster,pahua (u-),FR -> KM,A
accouchement,uzazi; udzazi; mzao,FR -> KM,A
accoucher,zaya (u-); dzaa (u-),FR -> KM,A
accoucheuse,mzalisi,FR -> KM,A
accoupler,tseleya (u-); heana (u-),FR -> KM,A
accoupler (faire s'-),tselesa (u-),FR -> KM,A
accoutrement,mvao; mpindrio,FR -> KM,A
accoutrement; habillement,mvao,KM -> FR,M
accrocher,lemɓeza (u-); lembedza (u-),FR -> KM,A
accroître,ziɗisha (u-),FR -> KM,A
accueillir,kariɓisha (u-); lahiki (u-); vahua (u-); kariɓisa (u-),FR -> KM,A
accueillir (avec respect),yezi (u-),FR -> KM,A
accueillir; servir le repas; décharger un véhicule,kariɓisha (u-),KM -> FR,K
accumuler,angulidza (u-),FR -> KM,A
accusation,tuhuma,FR -> KM,A
accuser,tuhumu (u-); swania (u-); kadzia (u-),FR -> KM,A
accélérer,harakisha (u-),FR -> KM,A
achard,ancari; ncari; cari,FR -> KM,A
acharnement,ɓidia,FR -> KM,A
acharner à,fanya ɓiɗia (u-),FR -> KM,A
acharné (pers.),mpviavu,FR -> KM,A
achat,mhulo; ununuzi,FR -> KM,A
acheter,hula (u-); nunua (u-),FR -> KM,A
acheter pour,nunulia (u-),FR -> KM,A
acheteur,mnunuzi,FR -> KM,A
achever,malidza (u-),FR -> KM,A
acide,nkali,FR -> KM,A
acte,itrenɗwa,FR -> KM,A
acte de mariage (devant le cadi),mafungidzo,FR -> KM,A
acte; action; verbe (grammaire),itrenɗwa,KM -> FR,I
actif (pers.),mtarufu,FR -> KM,A
action,itrenɗwa; shitrenɗwa,FR -> KM,A
