key_km,key_fr,tags,img_link_webformatURL,img_link_previewURL
Ko mndru,"Aucun (""il n'y a personne"")","Grammaire, Mesure",https://pixabay.com/get/g82be07f4821158f06b4ed3862f82408fa38221e2fec180b4057c3c7408e6ae5008bba0a589baa397507a221e510d95f31df5e0234ab8c58274624d9b0ed36f40_640.jpg,https://cdn.pixabay.com/photo/2018/05/31/15/06/see-no-evil-3444212_150.jpg
-indji,Beaucoup (nombreux),"Grammaire, Mesure",https://pixabay.com/get/gb058516f7e6c4e5752a07cc517112d0eeee1d2a70d2f007d1f0f856a961e5b3bf224a6386d3a4e99922a2f267ea112e185bcc3ad73de0bfe5f9af7c070899c5e_640.jpg,https://cdn.pixabay.com/photo/2015/11/15/21/31/lego-1044891_150.jpg
Dja / Hama / Sawa na,Comme (comparaison),"Grammaire, Mesure",https://pixabay.com/get/g53ae4b956e25f4c04068c3aa085fab3bafa4daa7a6e01a9a058e1256b905b773dba33f1838bafd04c1617beaa9d1e44ebf3f10b48ebbd2ac09a2d97606ad9352_640.jpg,https://cdn.pixabay.com/photo/2020/11/14/13/29/tidal-5741708_150.jpg
Ufanisa / Ulingana / Ulindzanisa,Comparer à,"Grammaire, Mesure",https://pixabay.com/get/gd3ac9bef8d511262f7a3b9ff43f0262a52ba76a0dc2b30ebf1738319149269b4c479b1e323af3ff1582738ffeecd7d8f_640.png,https://cdn.pixabay.com/photo/2014/03/12/01/36/eyes-285825_150.png
Tafauti (-),Différence,"Grammaire, Mesure",https://pixabay.com/get/g0d55764de4348492c0b248a9c395eabe5085db1c797eddf519d3b123d85b30bbb6dbf9d64bc61c589d66702681ef4ceac7e25af1be119e6bc747185dad1396b4_640.jpg,https://cdn.pixabay.com/photo/2016/01/06/21/42/light-bulbs-1125016_150.jpg
Tafauti / Mbali na mbali,Différent,"Grammaire, Mesure",https://pixabay.com/get/g21e3d090b53b78c851c92efb5b05301c21eaff3517541010fc7686a1c5f2d0bbb7083103a93538582a77f559df34544ab6e8c801ed57d556999274d1874181e1_640.jpg,https://cdn.pixabay.com/photo/2016/01/06/21/42/light-bulbs-1125016_150.jpg
Sawa (na),Egal (à) / Pareil (à) / Autant (que),"Grammaire, Mesure",https://pixabay.com/get/gfeec5e8de40a5e655972e59423f9e41e4c47cf86fda87987385f661ea61afc4e29e1c92bfcf6e7eb7aba66e923509bf7499997e6b712fd1904caffd733e401f8_640.jpg,https://cdn.pixabay.com/photo/2016/11/10/05/09/bitcoin-1813503_150.jpg
Ulingana na,Etre comparable à,"Grammaire, Mesure",https://pixabay.com/get/g42d7ee48299ed131a8bab1254c03637c7ad6b93291b010a15b8cc65fef36c6cf96f0d3fbe1dacb6ea78117a7bb38240453650b3a63aef2a175c21aa27d9d1b49_640.jpg,https://cdn.pixabay.com/photo/2015/10/28/16/44/analysis-1010888_150.jpg
Kilo (-),Kilogramme,"Grammaire, Mesure",https://pixabay.com/get/gf5fa920d9bc920a4eb198350049a208f99b81e1b9f200f01aae7f3c2f87a937a6e92c7dd3179c17fe60737d8a910b197_640.jpg,https://cdn.pixabay.com/photo/2014/11/15/20/30/kitchen-scale-532651_150.jpg
Uhela / Upvima,Mesurer,"Grammaire, Mesure",https://pixabay.com/get/g1bcf919c29bf97747d30ca6492132bac438bdf27b4474dee6bba68e27a9f25c77b9187b01e8f71401705921f2051a86b_640.jpg,https://cdn.pixabay.com/photo/2015/03/28/10/21/diet-695723_150.jpg
